-1		ewoce_eep_110W			-2		ewoce_wep_179E			-3		ewoce_wep_165E_calcd			-4		glob-alk-tco2_eep_calcd			-5		glob-alk-tco2_wep_calcd			-6		glodapv2_eep_86W_calcd			-7		glodapv2_eep_95W_calcd			-8		glodapv2_wep_1_calcd		49HG19950414	-9		glodapv2_wep_2_calcd		49NZ1998129	-10		glodapv2_wep_3_calcd		49NZ20020107	-11		glodapv2_wep_4_calcd		49NZ20021217	-12		glodapv2_wep_5_calcd		49NZ20041117	-13		glodapv2_wep_6_calcd		49NZ20070216	-14		glodapv2_wep_7_calcd		49UP20070606	-15		glodapv2_wep_8_calcd		49UF20090610	-16		glodapv2_wep_9_calcd		49UF20100108	-17		glodapv2_wep_10_calcd		49UP20090117	-18		glodapv2_wep_11_calcd		49UF20180129	-19		pacifica_eep_110W			-20		pacifica_wep_1			-21		pacifica_wep_2			-22		pacifica_wep_3			-23		pacifica_wep_4		
Approx_Depth	Avg_pH	Station	Depth 	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH
		148	24.861	7.9699998			160	37.687	8.1099997			87	45.741	8.08			19936	0	7.9			20629	0	7.86			367	12.332	8.02			100	64.134	7.8																																																										40	5	8.0640001																				
		148	48.327	7.77			160	66.917	8.1000004			87	71.59	8.06			19936	10	7.89			20629	10	7.87			367	30.827	8			100	79.145	7.78																																																										40	10	8.0609999																				
		148	73.779	7.6900001			160	96.939	8.04			87	96.442	8			19936	20	7.88			20629	20	7.88			367	64.434	7.91			100	94.752	7.78																																																										40	26	8.0550003																				
		147	9.646	7.9699998			164	2.188	8.1099997								19936	30	7.86			20629	30	7.88			367	95.351	7.89			101	3.083	8.01																																																										40	49	7.9330001																				
		147	23.867	7.9699998			164	37.985	8.1199999								19936	50	7.81			20629	50	7.89			369	1.989	8			101	9.249	8.01																																																										40	73	7.697																				
		147	47.234	7.7600002			164	67.115	8.1199999								19936	75	7.74			20629	75	7.89			371	1.193	8			101	19.292	8.01																																																										40	99	7.6269999																				
		147	74.077	7.6999998			164	96.837	8								19936	100	7.72			20629	100	7.9			373	2.088	8.01			101	28.54	7.97																																																										41	5	8.0710001																				
		147	98.929	7.6799998			803	2.586	8.1300001								19937	0	7.93			20630	0	7.85			373	28.739	7.99			101	40.571	7.91																																																										41	14	8.066																				
		146	10.243	7.9699998			803	38.583	8.1199999								19937	10	7.92			20630	10	7.86			373	44.251	7.97			101	49.52	7.89																																																										41	28	8.0670004																				
		146	24.662	7.9699998			803	67.317	8.1300001								19937	20	7.9			20630	20	7.87			373	64.235	7.91			101	63.638	7.85																																																										41	47	7.8319998																				
		146	49.023	7.8600001			803	98.333	8.04								19937	30	7.88			20630	30	7.88			373	84.416	7.9			101	79.743	7.86																																																										41	67	7.619																				
		146	73.183	7.7600002													19937	50	7.82			20630	50	7.88			375	2.188	8.01			101	93.759	7.83																																																										41	86	7.6170001																				
		146	97.041	7.7399998													19937	75	7.74			20630	75	7.89			377	2.088	8.02			102	2.685	7.99																																																										41	108	7.6139998																				
